Time(s),CH1(V),CH2(V),CH3(V)
-5.5872E-08,2.193572E-02,0.000000E+00,8.681320E-03
-5.5772E-08,0.000000E+00,0.000000E+00,8.681320E-03
-5.5672E-08,0.000000E+00,0.000000E+00,8.681320E-03
-5.5572E-08,0.000000E+00,0.000000E+00,8.681320E-03
-5.5472E-08,0.000000E+00,0.000000E+00,8.681320E-03
-5.5372E-08,0.000000E+00,0.000000E+00,8.681320E-03
-5.5272E-08,0.000000E+00,-2.212012E-02,8.681320E-03
-5.5172E-08,0.000000E+00,-2.212012E-02,8.681320E-03
-5.5072E-08,0.000000E+00,-2.212012E-02,8.681320E-03
-5.4972E-08,0.000000E+00,-2.212012E-02,8.681320E-03
-5.4872E-08,0.000000E+00,-2.212012E-02,8.681320E-03
-5.4772E-08,0.000000E+00,-2.212012E-02,8.681320E-03
-5.4672E-08,0.000000E+00,-2.212012E-02,8.681320E-03
-5.4572E-08,0.000000E+00,-2.212012E-02,8.681320E-03
-5.4472E-08,0.000000E+00,-2.212012E-02,8.681320E-03
-5.4372E-08,0.000000E+00,-2.212012E-02,8.681320E-03
-5.4272E-08,0.000000E+00,-2.212012E-02,8.681320E-03
-5.4172E-08,0.000000E+00,-2.212012E-02,8.681320E-03
-5.4072E-08,0.000000E+00,-2.212012E-02,8.681320E-03
-5.3972E-08,0.000000E+00,0.000000E+00,8.681320E-03
-5.3872E-08,0.000000E+00,0.000000E+00,8.681320E-03
-5.3772E-08,0.000000E+00,0.000000E+00,0.000000E+00
-5.3672E-08,0.000000E+00,0.000000E+00,0.000000E+00
-5.3572E-08,0.000000E+00,0.000000E+00,0.000000E+00
-5.3472E-08,0.000000E+00,0.000000E+00,0.000000E+00
-5.3372E-08,0.000000E+00,0.000000E+00,0.000000E+00
-5.3272E-08,0.000000E+00,-2.212012E-02,0.000000E+00
-5.3172E-08,0.000000E+00,-2.212012E-02,0.000000E+00
-5.3072E-08,0.000000E+00,-2.212012E-02,0.000000E+00
-5.2972E-08,2.193572E-02,-2.212012E-02,8.681320E-03
-5.2872E-08,2.193572E-02,-2.212012E-02,8.681320E-03
-5.2772E-08,2.193572E-02,-2.212012E-02,8.681320E-03
-5.2672E-08,2.193572E-02,-2.212012E-02,8.681320E-03
-5.2572E-08,2.193572E-02,-2.212012E-02,8.681320E-03
-5.2472E-08,2.193572E-02,0.000000E+00,8.681320E-03
-5.2372E-08,2.193572E-02,0.000000E+00,8.681320E-03
-5.2272E-08,0.000000E+00,0.000000E+00,8.681320E-03
-5.2172E-08,0.000000E+00,0.000000E+00,8.681320E-03
-5.2072E-08,0.000000E+00,0.000000E+00,8.681320E-03
