trial_id,number,study_id,state,datetime_start,datetime_complete,datetime_complete_unix
1,0,1,COMPLETE,2024-03-01 10:32:48.473318,2024-03-01 10:33:02.883601,1709289182
2,1,1,COMPLETE,2024-03-01 10:33:04.244069,2024-03-01 10:33:20.816573,1709289200
3,2,1,COMPLETE,2024-03-01 10:33:22.150899,2024-03-01 10:33:36.523674,1709289216
4,3,1,COMPLETE,2024-03-01 10:33:37.893853,2024-03-01 10:33:55.578280,1709289235
5,4,1,COMPLETE,2024-03-01 10:33:56.938059,2024-03-01 10:34:16.143881,1709289256
6,5,1,COMPLETE,2024-03-01 10:34:17.501739,2024-03-01 10:34:39.845249,1709289279
7,6,1,COMPLETE,2024-03-01 10:34:41.203800,2024-03-01 10:34:58.036453,1709289298
8,0,2,COMPLETE,2024-03-01 10:35:19.755816,2024-03-01 10:35:34.132529,1709289334
9,1,2,COMPLETE,2024-03-01 10:35:35.615127,2024-03-01 10:35:52.192730,1709289352
10,2,2,COMPLETE,2024-03-01 10:35:53.551745,2024-03-01 10:36:07.922668,1709289367
11,3,2,COMPLETE,2024-03-01 10:36:09.272469,2024-03-01 10:36:26.947209,1709289386
12,4,2,COMPLETE,2024-03-01 10:36:28.294904,2024-03-01 10:36:45.098345,1709289405
13,5,2,COMPLETE,2024-03-01 10:36:46.501800,2024-03-01 10:37:08.806024,1709289428
14,0,3,COMPLETE,2024-03-01 10:42:11.503816,2024-03-01 10:42:30.327290,1709289750
15,1,3,WAITING,,,-9223372036854775808
16,2,3,WAITING,,,-9223372036854775808
17,3,3,WAITING,,,-9223372036854775808
18,0,4,COMPLETE,2024-03-01 11:01:05.176000,2024-03-01 11:01:17.355219,1709290877
19,1,4,COMPLETE,2024-03-01 11:01:18.690739,2024-03-01 11:01:30.862650,1709290890
20,2,4,COMPLETE,2024-03-01 11:01:32.212041,2024-03-01 11:01:44.385418,1709290904
21,3,4,COMPLETE,2024-03-01 11:01:45.735105,2024-03-01 11:01:57.916452,1709290917
22,4,4,COMPLETE,2024-03-01 11:01:59.250226,2024-03-01 11:02:11.715160,1709290931
23,5,4,COMPLETE,2024-03-01 11:02:13.134573,2024-03-01 11:02:26.620894,1709290946
24,6,4,COMPLETE,2024-03-01 11:02:27.982140,2024-03-01 11:02:41.492652,1709290961
25,7,4,COMPLETE,2024-03-01 11:02:42.976898,2024-03-01 11:02:56.461017,1709290976
26,8,4,COMPLETE,2024-03-01 11:02:57.812009,2024-03-01 11:03:11.339575,1709290991
27,9,4,COMPLETE,2024-03-01 11:03:12.701884,2024-03-01 11:03:26.219913,1709291006
28,10,4,COMPLETE,2024-03-01 11:03:27.575006,2024-03-01 11:03:39.982451,1709291019
