Timestamp,TM_EVR0:HER:INJ2_EFF:BCM,B2_VXD:Rad:Res:BPAtDCU3:A1:DoseRate,CGHINJ:BEAM_GATE:STATUS,BTeBPM:QMD8E_M_1:NC_1Hz:C,BMHDCCT:CURRENT
2024/05/23 23:29:57.128,N/A,N/A,1,N/A,N/A
2024/05/23 23:29:59.219,N/A,N/A,N/A,N/A,997.6179999999999
2024/05/23 23:29:59.503,30.878733796346786,N/A,N/A,N/A,N/A
2024/05/23 23:29:59.854,N/A,N/A,N/A,1.8372154545783999,N/A
2024/05/23 23:29:59.935,N/A,27.859527036599314,N/A,N/A,N/A
2024/05/23 23:30:00.103,29.86345623086911,N/A,N/A,N/A,N/A
2024/05/23 23:30:00.219,N/A,N/A,N/A,N/A,997.9196
2024/05/23 23:30:00.703,28.199425749765528,N/A,N/A,N/A,N/A
2024/05/23 23:30:00.854,N/A,N/A,N/A,1.84189829826355,N/A
2024/05/23 23:30:00.935,N/A,27.285973081451125,N/A,N/A,N/A
2024/05/23 23:30:01.219,N/A,N/A,N/A,N/A,998.2244
2024/05/23 23:30:01.303,29.325890626393157,N/A,N/A,N/A,N/A
2024/05/23 23:30:01.853,N/A,N/A,N/A,1.8621904945373535,N/A
2024/05/23 23:30:01.863,31.009705204543046,N/A,N/A,N/A,N/A
2024/05/23 23:30:01.934,N/A,27.351421274193253,N/A,N/A,N/A
2024/05/23 23:30:01.935,N/A,28.37232429568499,N/A,N/A,N/A
2024/05/23 23:30:02.247,N/A,N/A,N/A,N/A,998.5486
2024/05/23 23:30:02.463,28.864085218529112,N/A,N/A,N/A,N/A
2024/05/23 23:30:02.932,N/A,N/A,N/A,1.8762386465072634,N/A
2024/05/23 23:30:02.935,N/A,27.43110925391154,N/A,N/A,N/A
2024/05/23 23:30:03.062,30.148868055902238,N/A,N/A,N/A,N/A
2024/05/23 23:30:03.262,N/A,N/A,N/A,N/A,998.8911999999999
2024/05/23 23:30:03.622,30.892065725073643,N/A,N/A,N/A,N/A
2024/05/23 23:30:03.932,N/A,N/A,N/A,1.8028749799728394,N/A
2024/05/23 23:30:03.935,N/A,28.1490891320919,N/A,N/A,N/A
2024/05/23 23:30:04.219,N/A,N/A,N/A,N/A,999.2041
2024/05/23 23:30:04.262,30.089134508967646,N/A,N/A,N/A,N/A
2024/05/23 23:30:04.821,30.280741447339583,N/A,N/A,N/A,N/A
2024/05/23 23:30:04.852,N/A,N/A,N/A,1.8372155809402466,N/A
2024/05/23 23:30:04.935,N/A,27.461764796114043,N/A,N/A,N/A
2024/05/23 23:30:05.219,N/A,N/A,N/A,N/A,999.515
2024/05/23 23:30:05.381,28.439689858915536,N/A,N/A,N/A,N/A
2024/05/23 23:30:05.851,N/A,N/A,N/A,1.8528249335289002,N/A
2024/05/23 23:30:05.935,N/A,28.13721790559745,N/A,N/A,N/A
2024/05/23 23:30:05.981,30.033210861023463,N/A,N/A,N/A,N/A
2024/05/23 23:30:06.219,N/A,N/A,N/A,N/A,999.8145999999999
2024/05/23 23:30:06.580,30.95731009535671,N/A,N/A,N/A,N/A
2024/05/23 23:30:06.931,N/A,N/A,N/A,1.8138016152381897,N/A
2024/05/23 23:30:06.935,N/A,28.2791248357652,N/A,N/A,N/A
2024/05/23 23:30:07.219,N/A,N/A,N/A,N/A,1000.1204
2024/05/23 23:30:07.220,31.266354235221034,N/A,N/A,N/A,N/A
2024/05/23 23:30:07.221,N/A,N/A,0,N/A,N/A
2024/05/23 23:30:07.935,N/A,24.10985365211505,N/A,N/A,N/A
2024/05/23 23:30:08.219,N/A,N/A,N/A,N/A,999.7206
2024/05/23 23:30:08.935,N/A,19.930027076086656,N/A,N/A,N/A
2024/05/23 23:30:09.279,N/A,N/A,N/A,N/A,999.2113
2024/05/23 23:30:09.935,N/A,16.813265162427754,N/A,N/A,N/A
2024/05/23 23:30:10.219,N/A,N/A,N/A,N/A,998.701
2024/05/23 23:30:10.935,N/A,16.67746347920675,N/A,N/A,N/A
2024/05/23 23:30:11.219,N/A,N/A,N/A,N/A,998.1661
2024/05/23 23:30:11.935,N/A,18.997150006608297,N/A,N/A,N/A
2024/05/23 23:30:12.219,N/A,N/A,N/A,N/A,997.666
2024/05/23 23:30:12.935,N/A,20.978263555807995,N/A,N/A,N/A
2024/05/23 23:30:13.128,N/A,N/A,1,N/A,N/A
2024/05/23 23:30:13.219,N/A,N/A,N/A,N/A,997.1578
2024/05/23 23:30:13.486,N/A,N/A,N/A,1.8621903681755068,N/A
2024/05/23 23:30:13.695,26.133069832897753,N/A,N/A,N/A,N/A
2024/05/23 23:30:13.935,N/A,25.53850304464657,N/A,N/A,N/A
2024/05/23 23:30:14.219,N/A,N/A,N/A,N/A,997.3746
2024/05/23 23:30:14.295,30.214481112294568,N/A,N/A,N/A,N/A
2024/05/23 23:30:14.485,N/A,N/A,N/A,1.871556055545807,N/A
2024/05/23 23:30:14.855,27.92347783706039,N/A,N/A,N/A,N/A
2024/05/23 23:30:14.935,N/A,26.910882417410424,N/A,N/A,N/A
2024/05/23 23:30:15.221,N/A,N/A,N/A,N/A,997.663
2024/05/23 23:30:15.454,26.665950550106537,N/A,N/A,N/A,N/A
2024/05/23 23:30:15.485,N/A,N/A,N/A,1.893408946990967,N/A
2024/05/23 23:30:15.935,N/A,27.896505998691744,N/A,N/A,N/A
2024/05/23 23:30:16.054,30.60384786749323,N/A,N/A,N/A,N/A
2024/05/23 23:30:16.312,N/A,N/A,N/A,N/A,997.9902000000001
2024/05/23 23:30:16.484,N/A,N/A,N/A,1.7857048058509828,N/A
2024/05/23 23:30:16.614,27.557667681696458,N/A,N/A,N/A,N/A
2024/05/23 23:30:16.935,N/A,28.115685075351156,N/A,N/A,N/A
2024/05/23 23:30:17.219,N/A,N/A,N/A,N/A,998.2674
2024/05/23 23:30:17.253,31.64162692045836,N/A,N/A,N/A,N/A
2024/05/23 23:30:17.483,N/A,N/A,N/A,1.8762387728691101,N/A
2024/05/23 23:30:17.813,28.732017658735483,N/A,N/A,N/A,N/A
2024/05/23 23:30:17.935,N/A,27.381852759023513,N/A,N/A,N/A
2024/05/23 23:30:18.219,N/A,N/A,N/A,N/A,998.5322
2024/05/23 23:30:18.372,32.30442089198562,N/A,N/A,N/A,N/A
2024/05/23 23:30:18.483,N/A,N/A,N/A,1.6998536825180055,N/A
2024/05/23 23:30:18.935,N/A,28.379612752587537,N/A,N/A,N/A
2024/05/23 23:30:18.972,27.981715569750147,N/A,N/A,N/A,N/A
2024/05/23 23:30:19.219,N/A,N/A,N/A,N/A,998.8462
2024/05/23 23:30:19.482,N/A,N/A,N/A,1.8575076508522035,N/A
2024/05/23 23:30:19.572,25.703692067693634,N/A,N/A,N/A,N/A
2024/05/23 23:30:19.935,N/A,27.94137492136342,N/A,N/A,N/A
2024/05/23 23:30:20.212,29.44241301107099,N/A,N/A,N/A,N/A
2024/05/23 23:30:20.219,N/A,N/A,N/A,N/A,999.1192
2024/05/23 23:30:20.482,N/A,N/A,N/A,1.8684341597557068,N/A
2024/05/23 23:30:20.731,26.443660457353545,N/A,N/A,N/A,N/A
2024/05/23 23:30:20.934,N/A,27.969722935410104,N/A,N/A,N/A
2024/05/23 23:30:20.935,N/A,28.51206234658903,N/A,N/A,N/A
2024/05/23 23:30:21.219,N/A,N/A,N/A,N/A,999.3380999999999
2024/05/23 23:30:21.331,28.632548826983147,N/A,N/A,N/A,N/A
2024/05/23 23:30:21.481,N/A,N/A,N/A,1.791948471069336,N/A
2024/05/23 23:30:21.931,32.278333177180194,N/A,N/A,N/A,N/A
2024/05/23 23:30:21.935,N/A,27.875558651839462,N/A,N/A,N/A
2024/05/23 23:30:22.248,N/A,N/A,N/A,N/A,999.5968
2024/05/23 23:30:22.481,N/A,N/A,N/A,1.8606292939186098,N/A
2024/05/23 23:30:22.490,31.233800838923937,N/A,N/A,N/A,N/A
2024/05/23 23:30:22.935,N/A,28.54356559426887,N/A,N/A,N/A
2024/05/23 23:30:23.090,28.793010130202795,N/A,N/A,N/A,N/A
2024/05/23 23:30:23.311,N/A,N/A,N/A,N/A,999.832
2024/05/23 23:30:23.560,N/A,N/A,N/A,1.87311687707901,N/A
2024/05/23 23:30:23.690,31.12987024855172,N/A,N/A,N/A,N/A
2024/05/23 23:30:23.935,N/A,28.612521151206792,N/A,N/A,N/A
2024/05/23 23:30:24.219,N/A,N/A,N/A,N/A,1000.0938
2024/05/23 23:30:24.222,N/A,N/A,0,N/A,N/A
2024/05/23 23:30:24.935,N/A,24.209556907820616,N/A,N/A,N/A
2024/05/23 23:30:25.219,N/A,N/A,N/A,N/A,999.6664000000001
2024/05/23 23:30:25.935,N/A,21.5345252680079,N/A,N/A,N/A
2024/05/23 23:30:26.219,N/A,N/A,N/A,N/A,999.152
2024/05/23 23:30:26.935,N/A,21.57888944186153,N/A,N/A,N/A
2024/05/23 23:30:27.219,N/A,N/A,N/A,N/A,998.6283999999999
2024/05/23 23:30:27.935,N/A,21.92990624190101,N/A,N/A,N/A
2024/05/23 23:30:28.219,N/A,N/A,N/A,N/A,998.0995999999999
2024/05/23 23:30:28.935,N/A,20.23203839412112,N/A,N/A,N/A
2024/05/23 23:30:29.248,N/A,N/A,N/A,N/A,997.5944
2024/05/23 23:30:29.935,N/A,16.925451250952676,N/A,N/A,N/A
2024/05/23 23:30:30.128,N/A,N/A,1,N/A,N/A
2024/05/23 23:30:30.247,30.071635509904155,N/A,N/A,N/A,N/A
2024/05/23 23:30:30.310,N/A,N/A,N/A,N/A,997.08
2024/05/23 23:30:30.807,29.318284376177157,N/A,N/A,N/A,N/A
2024/05/23 23:30:30.935,N/A,21.105632450677415,N/A,N/A,N/A
