Timestamp,BMHDCCT:CURRENT,BMLDCCT:CURRENT,B2_VXD:Rad:Res:BPAtDCU3:A1:DoseRate
2024/05/14 01:59:59.219,957.2053,N/A,N/A
2024/05/14 01:59:59.434,N/A,1192.7347750000001,N/A
2024/05/14 01:59:59.935,N/A,N/A,15.656383309316343
2024/05/14 02:00:04.301,959.5636000000001,N/A,N/A
2024/05/14 02:00:04.517,N/A,1196.1831750000001,N/A
2024/05/14 02:00:04.935,N/A,N/A,16.613730389639656
2024/05/14 02:00:09.219,958.3456,N/A,N/A
2024/05/14 02:00:09.434,N/A,1199.475975,N/A
2024/05/14 02:00:09.935,N/A,N/A,14.600159803369335
2024/05/14 02:00:14.219,958.7751,N/A,N/A
2024/05/14 02:00:14.434,N/A,1192.8590750000003,N/A
2024/05/14 02:00:14.935,N/A,N/A,15.314657358075186
2024/05/14 02:00:19.219,959.7189999999999,N/A,N/A
2024/05/14 02:00:19.434,N/A,1188.7137750000002,N/A
2024/05/14 02:00:19.935,N/A,N/A,13.987822910073142
2024/05/14 02:00:24.247,957.5048999999999,N/A,N/A
2024/05/14 02:00:24.463,N/A,1193.6610750000002,N/A
2024/05/14 02:00:24.935,N/A,N/A,15.5372445053724
2024/05/14 02:00:29.219,960.0441999999999,N/A,N/A
2024/05/14 02:00:29.434,N/A,1197.555875,N/A
2024/05/14 02:00:29.935,N/A,N/A,15.341236372673299
2024/05/14 02:00:34.219,958.0255,N/A,N/A
2024/05/14 02:00:34.433,N/A,1199.064875,N/A
2024/05/14 02:00:34.935,N/A,N/A,13.060682340137408
2024/05/14 02:00:39.219,958.6103999999999,N/A,N/A
2024/05/14 02:00:39.434,N/A,1188.875375,N/A
2024/05/14 02:00:39.935,N/A,N/A,15.349955117239388
2024/05/14 02:00:44.248,959.5196,N/A,N/A
2024/05/14 02:00:44.463,N/A,1190.402575,N/A
2024/05/14 02:00:44.935,N/A,N/A,13.99629922045534
2024/05/14 02:00:49.219,957.3198,N/A,N/A
2024/05/14 02:00:49.434,N/A,1195.122575,N/A
2024/05/14 02:00:49.935,N/A,N/A,15.725393477882369
2024/05/14 02:00:54.219,959.7916,N/A,N/A
2024/05/14 02:00:54.434,N/A,1199.854775,N/A
2024/05/14 02:00:54.935,N/A,N/A,16.636443027230136
2024/05/14 02:00:59.311,958.7015,N/A,N/A
2024/05/14 02:00:59.526,N/A,1193.3479750000001,N/A
2024/05/14 02:00:59.935,N/A,N/A,13.009768392841266
2024/05/14 02:01:04.219,958.2771,N/A,N/A
2024/05/14 02:01:04.434,N/A,1189.763175,N/A
2024/05/14 02:01:04.935,N/A,N/A,16.60206288533134
2024/05/14 02:01:09.219,960.0452,N/A,N/A
2024/05/14 02:01:09.434,N/A,1194.466075,N/A
2024/05/14 02:01:09.935,N/A,N/A,14.53075417889212
2024/05/14 02:01:14.221,957.8444999999999,N/A,N/A
2024/05/14 02:01:14.436,N/A,1198.686175,N/A
2024/05/14 02:01:14.935,N/A,N/A,14.33774920074303
2024/05/14 02:01:19.249,959.4286000000001,N/A,N/A
2024/05/14 02:01:19.464,N/A,1194.9539750000001,N/A
2024/05/14 02:01:19.935,N/A,N/A,15.416420018343072
2024/05/14 02:01:24.219,959.2588000000001,N/A,N/A
2024/05/14 02:01:24.433,N/A,1188.210775,N/A
2024/05/14 02:01:24.935,N/A,N/A,14.063850127228275
2024/05/14 02:01:29.219,957.8813,N/A,N/A
2024/05/14 02:01:29.434,N/A,1193.5761750000001,N/A
2024/05/14 02:01:29.935,N/A,N/A,16.57925894219996
2024/05/14 02:01:34.219,959.8499,N/A,N/A
2024/05/14 02:01:34.434,N/A,1197.9194750000001,N/A
2024/05/14 02:01:34.935,N/A,N/A,14.530922631143058
2024/05/14 02:01:39.220,957.7044,N/A,N/A
2024/05/14 02:01:39.461,N/A,1200.4002750000002,N/A
2024/05/14 02:01:39.935,N/A,N/A,14.207794189951986
2024/05/14 02:01:44.219,959.2813,N/A,N/A
2024/05/14 02:01:44.434,N/A,1190.9267750000001,N/A
2024/05/14 02:01:44.935,N/A,N/A,15.373070673180276
2024/05/14 02:01:49.219,959.2762,N/A,N/A
2024/05/14 02:01:49.434,N/A,1189.3904750000002,N/A
2024/05/14 02:01:49.935,N/A,N/A,14.245528028527328
2024/05/14 02:01:54.219,957.913,N/A,N/A
2024/05/14 02:01:54.434,N/A,1194.112575,N/A
2024/05/14 02:01:54.935,N/A,N/A,16.660926572303918
